date,hour,minute,day_of_week,month,is_weekend,time_sin,time_cos,dow_sin,dow_cos,month_sin,month_cos,lag_15min,lag_30min,lag_1h,lag_2h,lag_24h,lag_7d,Usage_kWh
2018-01-08 00:00:00,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,3.42,3.64,3.64,3.92,3.28,3.42,4.68
2018-01-08 00:15:00,0,15,0,1,0,0.06540312923014306,0.9978589232386035,0.0,1.0,0.0,1.0,4.68,3.42,3.24,3.82,3.13,3.17,3.78
2018-01-08 00:30:00,0,30,0,1,0,0.13052619222005157,0.9914448613738104,0.0,1.0,0.0,1.0,3.78,4.68,3.64,3.31,3.49,4.0,3.38
2018-01-08 00:45:00,0,45,0,1,0,0.19509032201612825,0.9807852804032304,0.0,1.0,0.0,1.0,3.38,3.78,3.42,3.6,3.64,3.24,3.31
2018-01-08 01:00:00,1,0,0,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0.0,1.0,3.31,3.38,4.68,3.64,3.2,3.31,3.89
2018-01-08 01:15:00,1,15,0,1,0,0.3214394653031616,0.9469301294951057,0.0,1.0,0.0,1.0,3.89,3.31,3.78,3.24,3.56,3.82,3.35
2018-01-08 01:30:00,1,30,0,1,0,0.3826834323650898,0.9238795325112867,0.0,1.0,0.0,1.0,3.35,3.89,3.38,3.64,3.49,3.28,3.31
2018-01-08 01:45:00,1,45,0,1,0,0.44228869021900125,0.8968727415326884,0.0,1.0,0.0,1.0,3.31,3.35,3.31,3.42,3.31,3.6,4.0
2018-01-08 02:00:00,2,0,0,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,1.0,4.0,3.31,3.89,4.68,3.74,3.6,3.31
2018-01-08 02:15:00,2,15,0,1,0,0.5555702330196022,0.8314696123025452,0.0,1.0,0.0,1.0,3.31,4.0,3.35,3.78,3.38,3.28,3.42
2018-01-08 02:30:00,2,30,0,1,0,0.6087614290087207,0.7933533402912352,0.0,1.0,0.0,1.0,3.42,3.31,3.31,3.38,3.17,3.78,3.89
2018-01-08 02:45:00,2,45,0,1,0,0.6593458151000688,0.7518398074789774,0.0,1.0,0.0,1.0,3.89,3.42,4.0,3.31,3.89,3.46,3.38
2018-01-08 03:00:00,3,0,0,1,0,0.7071067811865476,0.7071067811865476,0.0,1.0,0.0,1.0,3.38,3.89,3.31,3.89,3.35,3.24,3.56
2018-01-08 03:15:00,3,15,0,1,0,0.7518398074789774,0.6593458151000688,0.0,1.0,0.0,1.0,3.56,3.38,3.42,3.35,3.28,3.96,3.78
2018-01-08 03:30:00,3,30,0,1,0,0.7933533402912352,0.6087614290087207,0.0,1.0,0.0,1.0,3.78,3.56,3.89,3.31,3.82,3.31,3.38
2018-01-08 03:45:00,3,45,0,1,0,0.8314696123025451,0.5555702330196024,0.0,1.0,0.0,1.0,3.38,3.78,3.38,4.0,3.24,3.31,3.64
2018-01-08 04:00:00,4,0,0,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0,3.64,3.38,3.56,3.31,3.42,3.89,3.6
2018-01-08 04:15:00,4,15,0,1,0,0.8968727415326884,0.44228869021900125,0.0,1.0,0.0,1.0,3.6,3.64,3.78,3.42,3.71,3.28,3.46
2018-01-08 04:30:00,4,30,0,1,0,0.9238795325112867,0.38268343236508984,0.0,1.0,0.0,1.0,3.46,3.6,3.38,3.89,3.24,3.56,3.74
2018-01-08 04:45:00,4,45,0,1,0,0.9469301294951056,0.3214394653031617,0.0,1.0,0.0,1.0,3.74,3.46,3.64,3.38,3.67,3.74,3.53
2018-01-08 05:00:00,5,0,0,1,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0,1.0,3.53,3.74,3.6,3.56,3.38,3.31,3.38
