horizon,variant,model,MAE,RMSE,sMAPE_%,R2,MASE
15min,A,Hybrid 2 tầng,2.6900152209561354,6.330959857846922,10.179764599879537,0.945082953954262,0.1641284139500114
15min,B,Hybrid 2 tầng,2.7057909195493623,6.360143295491121,10.172811644873606,0.9445754915518424,0.1650909513992008
15min,B,XGBoost,2.82031754011108,6.356125912896015,11.949721928720916,0.9446454871866008,0.1720786711865886
15min,A,Random Forest,2.8741822843859013,6.587324215644581,11.586805958077315,0.9405453088628268,0.1753651711947584
15min,B,Random Forest,2.9126286548509097,6.5703377238099865,12.31575548719704,0.9408515407901162,0.1777109355448625
15min,A,XGBoost,2.928459075670089,6.497404082088278,12.914781016235064,0.9421574004120876,0.1786768118123915
15min,A,Quantile P50,2.951,,,,0.1801
15min,B,Quantile P50,2.9545,,,,0.1803
15min,A,LSTM,3.5902851194303524,8.350786808336855,18.74253044370216,0.90445172711974,0.2190574294397063
15min,A,Naive (persistence),3.8185618279569895,9.612046411827103,12.82559174255263,0.8734098928855288,0.2329854833200057
15min,B,Naive (persistence),3.8185618279569895,9.612046411827103,12.82559174255263,0.8734098928855288,0.2329854833200057
15min,B,LSTM,3.870065545202584,8.463268151138296,25.695723247789346,0.9018604073810426,0.2361279346610119
15min,A,Linear Regression,5.514827868857134,9.07327396892622,54.82847353433931,0.8872033767807727,0.3364813493512952
15min,B,Linear Regression,5.674727913865627,9.277942939976974,54.90063380489967,0.8820571973589614,0.3462374803104543
15min,A,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,36.86129717643208,0.3775880004191121,0.64428111649742
15min,B,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,36.86129717643208,0.3775880004191121,0.64428111649742
15min,A,Seasonal naive (24h),12.049307795698924,23.79435495423593,44.29954654576741,0.2242604731881601,0.73517568313262
15min,B,Seasonal naive (24h),12.049307795698924,23.79435495423593,44.29954654576741,0.2242604731881601,0.73517568313262
1h,B,Hybrid 2 tầng,4.359272546226619,10.00438428245429,18.349653082615774,0.8628648519991999,0.2659763719603391
1h,A,Hybrid 2 tầng,4.52189709546425,10.189329631547997,19.614266991828284,0.8577477077134033,0.275898735643553
1h,B,XGBoost,4.658656782062463,9.60776665792113,23.759946776764863,0.8735225960228004,0.284242982277848
1h,B,Random Forest,4.659237120619911,10.184478785783732,20.205880221104525,0.8578831198944676,0.2842783910168937
1h,A,XGBoost,4.696020141647708,9.769519829397824,23.83988302245617,0.8692280840892308,0.2865226678724858
1h,A,Random Forest,4.706917645325558,10.207382146553332,20.999796434125106,0.8572432021929921,0.2871875674539924
1h,A,Quantile P50,4.7682,,,,0.2909
1h,B,Quantile P50,4.8445,,,,0.2956
1h,A,LSTM,6.078889535119136,13.471981107442488,37.62871225698958,0.7513256574276269,0.3708969820264331
1h,B,LSTM,7.623710685905309,14.799654384810951,58.6727305308387,0.6998964069344384,0.4651526021174081
1h,A,Naive (persistence),9.021834677419353,19.75645007135753,31.50745661772395,0.4652068060188223,0.5504576349563328
1h,B,Naive (persistence),9.021834677419353,19.75645007135753,31.50745661772395,0.4652068060188223,0.5504576349563328
1h,A,Linear Regression,9.921866589936938,14.369840883639847,85.22635448538554,0.7170745811030033,0.6053721236012711
1h,B,Linear Regression,10.180889603815537,14.752494415783763,83.70510916559128,0.7018059545381004,0.6211761369441158
1h,A,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,36.86129717643208,0.3775880004191121,0.64428111649742
1h,B,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,36.86129717643208,0.3775880004191121,0.64428111649742
1h,A,Seasonal naive (24h),12.049307795698924,23.79435495423593,44.29954654576741,0.2242604731881601,0.73517568313262
1h,B,Seasonal naive (24h),12.049307795698924,23.79435495423593,44.29954654576741,0.2242604731881601,0.73517568313262
24h,B,Quantile P50,6.9349,,,,0.4231
24h,B,Hybrid 2 tầng,6.977466679740977,14.464702554241857,26.96291373263833,0.7133268200209305,0.4257226987466228
24h,B,XGBoost,7.050262481844233,13.606372968697086,36.44401463835773,0.7463395305706975,0.4301642570873892
24h,B,LSTM,8.749498595213216,16.046335150275358,59.898136336095554,0.6472071572485675,0.533841354487699
24h,A,XGBoost,9.121943300669832,17.167044379713165,41.20348890856987,0.5962066997696205,0.5565656559923552
24h,A,Quantile P50,9.4199,,,,0.5747
24h,A,Hybrid 2 tầng,10.018345759764154,19.18981982525628,38.01926029799568,0.4954434559064783,0.6112586974018931
24h,A,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,36.86129717643208,0.3775880004191121,0.64428111649742
24h,B,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,36.86129717643208,0.3775880004191121,0.64428111649742
24h,A,LSTM,10.626358765027216,18.39982933416467,73.25444956969591,0.5361306925656957,0.6483559823071346
24h,A,Random Forest,10.871343379299464,19.952243396547185,47.25586219956058,0.4545543063599309,0.6633034387501238
24h,B,Random Forest,11.32127546355456,20.010877970330363,41.86039377679827,0.4513437431583686,0.6907555657116076
24h,B,Linear Regression,11.934563514958436,16.60837821935399,93.12372641869564,0.6220603105721596,0.7281746830412239
24h,A,Naive (persistence),12.049307795698924,23.79435495423593,44.29954654576741,0.2242604731881601,0.73517568313262
24h,B,Naive (persistence),12.049307795698924,23.79435495423593,44.29954654576741,0.2242604731881601,0.73517568313262
24h,A,Linear Regression,12.249280540244834,17.67567936047593,88.56633704708486,0.5719245925999344,0.7473768071782622
