model,ngày,chi_phí_không_tối_ưu,chi_phí_lý_tưởng,chi_phí_theo_dự_báo,đỉnh_gốc_kWh,đỉnh_sau_tối_ưu_kWh,pk_không_tối_ưu,pk_lý_tưởng,pk_theo_dự_báo
XGBoost 24h (Model B),2018-12-01,1819727.0,1539647.0,1539647.0,30.56,83.78624427797759,5486927.0,4106687.000000006,4106687.0
XGBoost 24h (Model B),2018-12-02,604597.0,545578.6000000001,545578.6,5.54,91.77974504618471,1269397.0,1067631.6000000006,1714527.9975853073
XGBoost 24h (Model B),2018-12-03,6421347.0,5395291.799999999,5395291.799999999,76.03,127.9220094392961,15544947.0,11781811.800000004,11781811.799999999
XGBoost 24h (Model B),2018-12-04,6553869.0,5514242.699999999,5514242.699999999,84.1,136.64677967900792,16645869.0,12578642.7,12578642.7
XGBoost 24h (Model B),2018-12-05,5545510.0,4702444.9,4702444.9,109.3,127.42004873982461,18661510.0,13883644.9,13883644.899999999
XGBoost 24h (Model B),2018-12-06,6530426.0,5492549.299999999,5492549.3,76.86,142.79777651488908,15753626.0,11948789.30000001,11948789.299999999
XGBoost 24h (Model B),2018-12-07,6255226.0,5260586.5,5260586.5,72.11,137.20905818888085,14908426.0,11317826.500000006,11317826.5
XGBoost 24h (Model B),2018-12-08,3348915.0,2863548.3,2863548.3,55.69,149.18,10031715.0,7541508.300000002,7541508.3
XGBoost 24h (Model B),2018-12-09,553101.0,499364.1,499364.1,4.18,104.213,1054701.0,977442.5000000012,1547535.6102358704
XGBoost 24h (Model B),2018-12-10,5616064.0,4748212.6,4748212.6,72.9,125.58906760636502,14364064.0,10871812.600000013,10871812.6
XGBoost 24h (Model B),2018-12-11,7442225.0,6266233.999999999,6266233.999999999,84.24,149.18,17551025.0,13342393.999999998,13342393.999999998
XGBoost 24h (Model B),2018-12-12,7595226.0,6397744.799999999,6397744.799999999,86.51,149.18,17976426.0,13664584.800000023,13664584.8
XGBoost 24h (Model B),2018-12-13,7819182.0,6564885.899999999,6564885.899999999,105.37,149.18,20463582.0,15415965.900000008,15415965.9
XGBoost 24h (Model B),2018-12-14,9345945.0,7904949.3,7904949.3,134.5,149.18,25485945.0,19202949.300000053,19202949.299999997
XGBoost 24h (Model B),2018-12-15,697687.0,607550.5,607550.5,5.36,72.1632937861962,1340887.0,1147976.7473684223,3113611.7915334892
XGBoost 24h (Model B),2018-12-16,3560175.0,3156960.3,3156960.3,72.18,149.18,12221775.0,9220080.3,9272541.52387109
XGBoost 24h (Model B),2018-12-17,4968232.0,4206772.0,4206772.0,85.86,114.3238703862875,15271432.0,11419012.000000015,11419012.0
XGBoost 24h (Model B),2018-12-18,6929428.0,5866656.399999999,5866656.399999999,127.58,149.18,22239028.0,16583376.400000008,16583376.4
XGBoost 24h (Model B),2018-12-19,7571476.0,6440826.699999999,6440826.699999999,149.18,149.18,25473076.0,18971946.700000003,18971946.7
XGBoost 24h (Model B),2018-12-20,5668188.0,4796790.6,4796790.6,83.16,125.97278352028518,15647388.0,11782230.600000009,11782230.600000001
XGBoost 24h (Model B),2018-12-21,5133254.0,4351518.8,4351518.799999999,73.12,126.19220962366256,13907654.0,10493598.8,10493598.799999999
XGBoost 24h (Model B),2018-12-22,712133.0,618656.0,618656.0,5.51,78.66029434767883,1373333.0,1157800.3263157916,2343282.1568932803
XGBoost 24h (Model B),2018-12-23,601077.0,542335.8,542335.7999999999,5.54,109.15030147479357,1265877.0,1063383.6,1510197.0708427706
XGBoost 24h (Model B),2018-12-24,4321091.0,3665049.5,3665049.5,69.55,100.80107814709358,12667091.0,9507249.500000015,9507249.5
XGBoost 24h (Model B),2018-12-25,683427.0,594063.9,594063.9,5.04,50.48819855657125,1288227.0,1114249.910526317,2908985.3965946236
XGBoost 24h (Model B),2018-12-26,4510920.0,3819901.1999999997,3819901.1999999997,78.23,118.33561796245566,13898520.0,10391221.200000048,10391221.2
XGBoost 24h (Model B),2018-12-27,6145528.0,5164446.699999999,5164446.699999999,76.03,138.30467285737822,15269128.0,11550966.700000003,11895636.213898866
XGBoost 24h (Model B),2018-12-28,4066157.0,3453041.3,3453041.3,66.82,110.60066270630264,12084557.0,9065921.300000004,9065921.299999999
XGBoost 24h (Model B),2018-12-29,764739.0,659865.9,659865.9,26.17,79.74381578638905,3905139.0,2858145.9000000013,2858145.9
XGBoost 24h (Model B),2018-12-30,554406.0,500020.19999999995,500020.19999999995,4.97,103.93,1150806.0,975200.0000000016,1245226.8225622948
XGBoost 24h (Model B),2018-12-31,658439.0,572803.7,572803.7,4.21,65.63848621330786,1163639.0,1077851.526315791,2726603.4440526795
Hybrid 24h (Model B),2018-12-01,1819727.0,1539647.0,1539647.0,30.56,62.345362744083424,5486927.0,4106687.000000006,4246443.136422018
Hybrid 24h (Model B),2018-12-02,604597.0,545578.6000000001,545578.6000000001,5.54,114.28900000000003,1269397.0,1067631.6000000006,1249761.5351534595
Hybrid 24h (Model B),2018-12-03,6421347.0,5395291.799999999,5395291.799999999,76.03,123.48082514190108,15544947.0,11781811.800000004,11781811.8
Hybrid 24h (Model B),2018-12-04,6553869.0,5514242.699999999,5514242.699999999,84.1,128.81088285118537,16645869.0,12578642.7,12578642.7
Hybrid 24h (Model B),2018-12-05,5545510.0,4702444.9,4702444.899999999,109.3,118.45173098621946,18661510.0,13883644.9,13883644.899999999
Hybrid 24h (Model B),2018-12-06,6530426.0,5492549.299999999,5492549.299999999,76.86,136.02580477911576,15753626.0,11948789.30000001,11948789.299999999
