trần_công_suất,model,tiết_kiệm_%,%_lợi_ích_đạt_được
0.45,XGBoost 24h (Model B),13.05,92.9
0.45,XGBoost 24h (Model A),13.31,94.6
0.45,Seasonal naive 7 ngày,13.49,96.0
0.45,Naive (persistence),12.94,92.1
0.55,XGBoost 24h (Model B),14.31,99.0
0.55,XGBoost 24h (Model A),14.4,99.7
0.55,Seasonal naive 7 ngày,14.11,97.7
0.55,Naive (persistence),13.14,91.0
0.65,XGBoost 24h (Model B),14.65,100.0
0.65,XGBoost 24h (Model A),14.65,100.0
0.65,Seasonal naive 7 ngày,14.33,97.8
0.65,Naive (persistence),13.13,89.7
0.8,XGBoost 24h (Model B),14.92,100.0
0.8,XGBoost 24h (Model A),14.92,100.0
0.8,Seasonal naive 7 ngày,14.62,98.0
0.8,Naive (persistence),13.87,92.9
1.0,XGBoost 24h (Model B),15.06,100.0
1.0,XGBoost 24h (Model A),15.06,100.0
1.0,Seasonal naive 7 ngày,14.87,98.7
1.0,Naive (persistence),14.44,95.9
