horizon,variant,model,MAE,RMSE,MAPE_%,sMAPE_%,R2,MASE
15min,A,Random Forest,2.8741822843859013,6.587324215644581,14.340410922504116,11.586805958077315,0.9405453088628267,0.17536517119475847
15min,A,XGBoost,2.9284590756700886,6.497404082088278,16.034679987764612,12.914781016235063,0.9421574004120877,0.1786768118123915
15min,A,Naive (persistence),3.8185618279569895,9.612046411827103,16.03110430686509,12.82559174255263,0.8734098928855288,0.2329854833200057
15min,A,Linear Regression,5.514827868857134,9.07327396892622,66.50326138629114,54.82847353433931,0.8872033767807727,0.33648134935129526
15min,A,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,115.91146865314875,36.861297176432075,0.3775880004191121,0.64428111649742
15min,A,Seasonal naive (24h),12.049307795698924,23.79435495423593,137.98824458987474,44.29954654576741,0.22426047318816011,0.73517568313262
15min,B,XGBoost,2.82031754011108,6.356125912896015,14.181727109581029,11.949721928720917,0.9446454871866008,0.1720786711865886
15min,B,Random Forest,2.9126286548509097,6.5703377238099865,15.382197721014926,12.31575548719704,0.9408515407901162,0.17771093554486259
15min,B,Naive (persistence),3.8185618279569895,9.612046411827103,16.03110430686509,12.82559174255263,0.8734098928855288,0.2329854833200057
15min,B,Linear Regression,5.674727913865627,9.277942939976974,67.37664966467476,54.90063380489967,0.8820571973589614,0.3462374803104543
15min,B,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,115.91146865314875,36.861297176432075,0.3775880004191121,0.64428111649742
15min,B,Seasonal naive (24h),12.049307795698924,23.79435495423593,137.98824458987474,44.29954654576741,0.22426047318816011,0.73517568313262
1h,A,XGBoost,4.696020141647708,9.769519829397824,42.33202345802666,23.839883022456174,0.8692280840892308,0.2865226678724858
1h,A,Random Forest,4.706917645325558,10.207382146553332,41.330091652175035,20.999796434125102,0.8572432021929921,0.2871875674539924
1h,A,Naive (persistence),9.021834677419353,19.756450071357534,57.88706682204372,31.50745661772395,0.46520680601882236,0.5504576349563328
1h,A,Linear Regression,9.921866589936938,14.369840883639847,149.862170392432,85.22635448538554,0.7170745811030033,0.6053721236012711
1h,A,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,115.91146865314875,36.861297176432075,0.3775880004191121,0.64428111649742
1h,A,Seasonal naive (24h),12.049307795698924,23.79435495423593,137.98824458987474,44.29954654576741,0.22426047318816011,0.73517568313262
1h,B,XGBoost,4.658656782062463,9.60776665792113,41.94522516445623,23.759946776764863,0.8735225960228004,0.284242982277848
1h,B,Random Forest,4.659237120619911,10.184478785783732,40.26028099161354,20.205880221104525,0.8578831198944676,0.28427839101689373
1h,B,Naive (persistence),9.021834677419353,19.756450071357534,57.88706682204372,31.50745661772395,0.46520680601882236,0.5504576349563328
1h,B,Linear Regression,10.180889603815537,14.752494415783763,148.51683874300616,83.70510916559128,0.7018059545381004,0.6211761369441158
1h,B,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,115.91146865314875,36.861297176432075,0.3775880004191121,0.64428111649742
1h,B,Seasonal naive (24h),12.049307795698924,23.79435495423593,137.98824458987474,44.29954654576741,0.22426047318816011,0.73517568313262
24h,A,XGBoost,9.121943300669832,17.167044379713165,126.88878980006824,41.20348890856987,0.5962066997696205,0.5565656559923552
24h,A,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,115.91146865314875,36.861297176432075,0.3775880004191121,0.64428111649742
24h,A,Random Forest,10.871343379299464,19.952243396547182,169.50936347170554,47.25586219956058,0.4545543063599309,0.6633034387501238
24h,A,Naive (persistence),12.049307795698924,23.79435495423593,137.98824458987474,44.29954654576741,0.22426047318816011,0.73517568313262
24h,A,Linear Regression,12.249280540244834,17.67567936047593,206.54788657490414,88.56633704708486,0.5719245925999344,0.7473768071782622
24h,B,XGBoost,7.050262481844233,13.606372968697086,71.76696628957139,36.44401463835773,0.7463395305706975,0.43016425708738926
24h,B,Seasonal naive (7 ngày),10.559573252688171,21.31350886285604,115.91146865314875,36.861297176432075,0.3775880004191121,0.64428111649742
24h,B,Random Forest,11.32127546355456,20.010877970330363,130.7822207321632,41.86039377679827,0.45134374315836867,0.6907555657116076
24h,B,Linear Regression,11.934563514958437,16.60837821935399,188.4443596718474,93.12372641869563,0.6220603105721596,0.7281746830412239
24h,B,Naive (persistence),12.049307795698924,23.79435495423593,137.98824458987474,44.29954654576741,0.22426047318816011,0.73517568313262
